ID,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
3321,Medium,Medium,Private,Positive,5,No,College,Near,Female,71
3322,Low,High,Private,Neutral,4,No,High School,Near,Female,63
3323,Medium,Medium,Public,Neutral,2,No,College,Near,Male,66
3324,Low,High,Private,Positive,4,No,Postgraduate,Near,Male,67
3325,Low,High,Public,Neutral,1,No,,Near,Female,64
3326,Medium,Low,Public,Neutral,3,No,High School,Near,Female,66
3327,High,High,Public,Positive,3,No,College,Near,Male,69
3328,Medium,Medium,Private,Positive,6,No,College,Moderate,Male,72
3329,Medium,Medium,Public,Negative,4,No,High School,Near,Male,63
3330,Low,Medium,Public,Positive,2,No,High School,Near,Female,67
3331,Medium,Medium,Private,Negative,4,No,College,Near,Male,64
3332,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,68
3333,High,Medium,Public,Positive,3,No,High School,Moderate,Female,71
3334,Medium,High,Public,Positive,4,No,High School,Moderate,Female,67
3335,Low,Medium,Private,Negative,5,Yes,Postgraduate,Near,Male,67
3336,Medium,High,Public,Negative,3,No,College,Near,Male,64
3337,High,High,Public,Neutral,3,No,College,Near,Male,63
3338,Medium,Medium,Public,Neutral,4,No,College,Near,Male,72
3339,Low,Medium,Public,Neutral,2,No,High School,Near,Female,63
3340,Medium,Medium,Private,Negative,4,No,High School,Far,Female,67
3341,Low,Medium,Private,Positive,2,No,Postgraduate,Near,Male,68
3342,Low,High,Private,Neutral,3,No,College,Far,Male,64
3343,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Male,65
3344,Medium,Medium,Private,Neutral,1,No,Postgraduate,Far,Female,68
3345,Low,Medium,Private,Negative,4,No,High School,Near,Male,66
3346,Low,Medium,Private,Positive,5,No,College,Far,Female,73
3347,High,Medium,Private,Positive,3,No,High School,Near,Female,68
3348,Medium,Medium,Private,Neutral,5,Yes,Postgraduate,Far,Male,72
3349,High,Medium,Public,Neutral,0,No,High School,Near,Female,70
3350,Low,Medium,Private,Neutral,4,No,College,Near,Female,66
3351,Medium,Medium,Public,Positive,1,No,College,Near,Female,66
3352,Medium,High,Private,Neutral,4,No,College,Near,Female,66
3353,Low,Medium,Public,Negative,2,No,High School,Moderate,Male,65
3354,Low,Medium,Public,Neutral,5,No,College,Far,Male,71
3355,Medium,Medium,Public,Positive,1,No,High School,Moderate,Female,66
3356,Medium,,Private,Neutral,4,No,College,Moderate,Female,63
3357,Low,Medium,Public,Neutral,3,Yes,Postgraduate,Near,Female,63
3358,Medium,Low,Public,Positive,3,No,College,Moderate,Male,58
3359,Medium,High,Public,Neutral,3,No,,Near,Female,68
3360,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,61
3361,Low,Medium,Public,Positive,4,No,High School,Near,Male,65
3362,High,Medium,Public,Positive,3,No,High School,Moderate,Male,67
3363,High,Low,Public,Neutral,3,No,Postgraduate,Near,Male,67
3364,Medium,Medium,Private,Positive,4,No,High School,Near,Male,62
3365,Low,Medium,Public,Positive,1,No,High School,Near,Female,86
3366,Medium,Medium,Public,Neutral,5,No,College,Near,Male,71
3367,Low,Medium,Public,Positive,3,No,Postgraduate,Near,Male,70
3368,Medium,Medium,Public,Positive,3,No,College,Near,Male,71
3369,Low,Medium,Public,Neutral,3,Yes,College,Moderate,Male,71
3370,High,Medium,Public,Negative,3,No,College,Near,Female,70
3371,Low,Medium,Public,Neutral,5,No,High School,Moderate,Male,67
3372,Medium,Low,Public,Positive,4,No,High School,Near,Male,60
3373,Medium,High,Public,Neutral,4,No,College,Near,Female,73
3374,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Female,67
3375,Low,Medium,Private,Negative,3,Yes,College,Near,Female,62
3376,Medium,Medium,Public,Negative,3,No,College,Near,Female,67
3377,Medium,High,Public,Positive,2,No,College,Near,Female,65
3378,Low,Medium,Public,Neutral,6,No,High School,Near,Male,61
3379,Low,Medium,Private,Negative,4,No,High School,Moderate,Female,61
3380,Low,Medium,Private,Neutral,2,No,High School,Near,Female,60
3381,Low,Low,Public,Negative,3,No,High School,Near,Male,68
3382,Low,High,Public,Neutral,5,No,College,Moderate,Female,65
3383,Medium,Low,Public,Neutral,1,No,Postgraduate,Moderate,Female,67
3384,Medium,Low,Public,Positive,2,No,Postgraduate,Near,Male,67
3385,High,Medium,Private,Positive,2,No,College,Moderate,Male,74
3386,Medium,Medium,Public,Positive,2,No,High School,Far,Female,64
3387,Low,Low,Private,Neutral,3,No,College,Near,Male,64
3388,Low,High,Public,Neutral,3,No,High School,Near,Male,67
3389,Medium,Medium,Public,Negative,3,Yes,High School,Far,Female,74
3390,Low,Low,Private,Positive,2,No,College,Near,Male,69
3391,Low,Low,Public,Positive,2,No,High School,Near,Male,62
3392,Medium,Medium,Public,Positive,2,No,College,,Female,66
3393,Medium,Medium,Public,Negative,3,No,College,Moderate,Female,69
3394,Medium,Medium,Public,Negative,1,No,Postgraduate,Far,Male,68
3395,High,Medium,Public,Neutral,2,No,High School,Moderate,Female,74
3396,Medium,High,Public,Positive,3,No,High School,Far,Male,68
3397,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,73
3398,High,Medium,Public,Negative,5,No,College,Near,Male,70
3399,Medium,Medium,Private,Neutral,4,No,High School,Moderate,Female,69
3400,Medium,High,Public,Neutral,2,No,College,Far,Male,68
3401,Low,Medium,Private,Negative,1,No,College,Near,Male,71
3402,High,Medium,Public,Neutral,2,No,College,Near,Female,64
3403,Low,Low,Public,Positive,3,Yes,Postgraduate,Near,Male,71
3404,Low,High,Public,Neutral,3,No,High School,Near,Female,65
3405,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,68
3406,Low,High,Private,Neutral,2,No,College,Near,Female,67
3407,Medium,High,Public,Negative,4,No,Postgraduate,Far,Male,67
3408,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,67
3409,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,63
3410,Medium,Low,Public,Positive,3,No,High School,Near,Female,68
3411,Low,High,Public,Positive,3,No,Postgraduate,Near,Female,66
3412,High,High,Public,Positive,4,No,High School,Near,Male,67
3413,Medium,Medium,Public,Neutral,2,No,College,Moderate,Female,68
3414,High,Medium,Private,Neutral,3,No,Postgraduate,Near,Male,72
3415,Low,High,Private,Neutral,3,No,Postgraduate,Moderate,Female,70
3416,Medium,Medium,Public,Negative,4,No,High School,Moderate,Female,62
3417,Low,Medium,Public,Neutral,2,No,College,Near,Female,69
3418,Low,Medium,Private,Positive,4,No,High School,Near,Female,61
3419,Low,Medium,Public,Positive,2,No,High School,Moderate,Female,58
3420,Medium,Medium,Private,Neutral,3,No,High School,Near,Male,63
3421,Medium,Medium,Public,Positive,3,No,College,Near,Female,71
3422,Low,High,Public,Positive,3,No,College,Near,Female,70
3423,Low,Medium,Public,Neutral,3,No,High School,Near,Female,64
3424,Medium,Medium,Public,Positive,1,No,College,Far,Male,63
3425,Medium,Medium,Public,Positive,3,No,College,Near,Male,63
3426,Low,High,Public,Positive,5,No,Postgraduate,Near,Female,71
3427,Low,Low,Public,Negative,2,No,Postgraduate,Near,Female,65
3428,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68
3429,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Male,70
3430,Medium,Low,Public,Neutral,3,No,High School,Far,Female,68
3431,Low,Medium,Private,Negative,1,No,High School,Moderate,Male,69
3432,Medium,Medium,Public,Positive,5,No,College,Near,Male,70
3433,High,High,Private,Positive,3,Yes,High School,Near,Male,67
3434,Medium,Medium,Public,Neutral,2,No,High School,Near,Female,69
3435,High,Medium,Public,Neutral,3,No,,Moderate,Female,73
3436,Medium,Low,Public,Positive,3,No,Postgraduate,Moderate,Male,68
3437,Low,Medium,Public,Negative,2,No,College,Far,Female,67
3438,Low,Medium,Private,Positive,4,No,College,Moderate,Female,67
3439,Low,High,Private,Positive,3,No,College,Near,Male,64
3440,Low,Medium,Public,Neutral,2,No,High School,Near,Male,63
3441,Medium,Low,Private,Negative,5,No,Postgraduate,Near,Female,67
3442,Medium,High,Public,Positive,2,No,High School,Near,Male,70
3443,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,71
3444,Medium,Medium,Private,Neutral,2,No,College,Near,Male,74
3445,High,Low,Public,Positive,3,No,High School,Near,Male,70
3446,Medium,Medium,Public,Neutral,2,No,College,Moderate,Female,59
3447,Low,Medium,Private,Neutral,3,Yes,High School,Near,Male,64
3448,Medium,High,Public,Neutral,3,No,High School,Near,Female,67
3449,Low,Medium,Public,Neutral,3,No,High School,Near,Male,63
3450,Low,Low,Public,Positive,2,No,College,Near,Male,66
3451,Medium,Medium,Private,Negative,4,No,College,Far,Male,62
3452,High,High,Public,Neutral,3,No,High School,Near,Male,65
3453,High,Medium,Public,Positive,4,No,College,Far,Male,73
3454,Medium,High,Public,Positive,2,No,High School,Near,Male,70
3455,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,62
3456,High,Low,Public,Positive,5,Yes,High School,Near,Female,68
3457,High,Medium,Public,Neutral,3,No,College,Near,Male,74
3458,Medium,Medium,Private,Neutral,4,No,High School,Near,Female,96
3459,Low,High,Public,Negative,2,No,High School,Moderate,Male,66
3460,Low,Medium,Public,Positive,4,No,Postgraduate,Near,Male,69
3461,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,70
3462,Medium,Medium,Private,Neutral,3,No,College,Near,Male,73
3463,Low,High,Public,Positive,2,No,High School,Near,Male,69
3464,Low,Medium,Private,Neutral,4,No,High School,Far,Male,71
3465,Low,Low,Public,Neutral,2,No,College,Moderate,Female,65
3466,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,62
3467,Medium,,Public,Positive,3,No,High School,Near,Male,69
3468,Low,Medium,Public,Positive,2,No,College,Near,Male,65
3469,Medium,Medium,Public,Neutral,2,No,College,Far,Female,68
3470,Low,Medium,Public,Negative,3,Yes,Postgraduate,Near,Male,65
3471,High,Medium,Private,Neutral,1,No,High School,Moderate,Male,72
3472,High,Medium,Private,Positive,4,No,Postgraduate,Near,Male,67
3473,Medium,High,Private,Positive,2,No,College,Far,Male,68
3474,Medium,High,Public,Positive,3,No,High School,Near,Male,68
3475,Medium,Medium,Private,Neutral,3,Yes,College,Near,Female,66
3476,High,Medium,Private,Negative,2,No,High School,Moderate,Male,62
3477,Medium,High,Public,Neutral,4,No,High School,Far,Male,65
3478,Medium,Medium,Private,Positive,5,No,High School,Far,Female,60
3479,Low,High,Private,Neutral,4,Yes,High School,Moderate,Male,70
3480,Low,Medium,Public,Neutral,1,No,High School,Moderate,Male,68
3481,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,72
3482,High,Medium,Public,Positive,2,No,High School,Moderate,Female,63
3483,Medium,Medium,Private,Neutral,1,Yes,High School,Moderate,Male,63
3484,Medium,Medium,Public,Neutral,2,No,College,Near,Male,67
3485,Medium,Medium,Public,Neutral,2,No,Postgraduate,,Female,68
3486,High,Medium,Public,Positive,3,No,High School,Near,Female,69
3487,High,High,Public,Neutral,4,No,High School,Near,Female,75
3488,High,Medium,Public,Neutral,3,No,High School,Moderate,Male,67
3489,Low,High,Public,Positive,3,No,High School,Near,Male,69
3490,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Male,65
3491,Medium,Medium,Public,Negative,4,No,High School,Near,Male,65
3492,Low,Medium,Public,Positive,4,No,College,Near,Female,63
3493,Medium,Medium,Private,Neutral,4,No,High School,Near,Male,65
3494,Low,Medium,Public,Positive,2,No,High School,Far,Female,58
3495,Low,High,Private,Positive,3,No,High School,Moderate,Male,70
3496,Medium,Low,Public,Neutral,5,No,College,Moderate,Male,66
3497,Low,Medium,Public,Negative,2,No,College,Near,Female,63
3498,Low,Medium,Private,Negative,3,No,High School,Far,Male,62
3499,Medium,Medium,Private,Positive,3,No,College,Moderate,Female,69
3500,High,High,Public,Positive,3,No,High School,Near,Female,66
3501,Low,High,Public,Neutral,2,No,High School,Moderate,Male,68
3502,High,Medium,Public,Neutral,2,No,Postgraduate,Far,Male,62
3503,Medium,High,Public,Negative,4,Yes,High School,Near,Male,64
3504,Medium,Medium,Public,Neutral,2,No,College,Near,Female,65
3505,Low,Medium,Private,Negative,3,No,College,Far,Male,64
3506,High,Medium,Public,Positive,3,No,High School,Near,Female,65
3507,Medium,Medium,Private,Neutral,4,No,High School,Moderate,Male,65
3508,Medium,Medium,Public,Neutral,3,No,College,Near,Female,70
3509,Medium,Medium,Private,Positive,3,Yes,Postgraduate,Near,Female,71
3510,Medium,High,Public,Positive,3,No,College,Moderate,Male,65
3511,High,High,Public,Positive,4,No,Postgraduate,Near,Male,67
3512,Low,Medium,Public,Positive,2,No,High School,Moderate,Male,68
3513,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,73
3514,Medium,High,Public,Neutral,4,Yes,High School,Near,Male,64
3515,Low,Medium,Private,Positive,1,No,High School,Near,Male,71
3516,Medium,High,Private,Positive,2,No,High School,Near,Female,70
3517,Medium,Medium,Public,Neutral,1,No,High School,Near,Female,68
3518,Low,Medium,Private,Neutral,4,No,College,Moderate,Female,68
3519,Low,Medium,Public,Positive,3,Yes,High School,Far,Male,68
3520,Low,Medium,Private,Positive,3,No,College,Moderate,Female,59
3521,Medium,High,Private,Neutral,4,No,College,Near,Male,74
3522,Low,High,Public,Positive,3,No,Postgraduate,Moderate,Male,62
3523,Medium,Medium,Public,Positive,3,No,High School,Far,Male,64
3524,High,Medium,Public,Positive,2,No,Postgraduate,Near,Male,76
3525,Low,Medium,Public,Positive,2,No,High School,Near,Male,70
3526,Low,Low,Public,Positive,5,No,Postgraduate,Near,Male,69
3527,Low,High,Public,Positive,2,No,,Near,Female,69
3528,Medium,Medium,Public,Positive,3,No,High School,Far,Male,74
3529,High,High,Public,Negative,2,No,High School,Near,Female,62
3530,Low,High,Public,Positive,3,No,Postgraduate,Moderate,Male,70
3531,Low,High,Public,Positive,3,No,High School,Near,Male,71
3532,Medium,Medium,Public,Negative,2,No,College,Near,Male,68
3533,High,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,66
3534,High,Medium,Public,Negative,3,No,High School,Far,Male,67
3535,Low,High,Private,Neutral,4,No,High School,Near,Male,71
3536,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,74
3537,Medium,Medium,Public,Positive,2,No,College,Near,Male,65
3538,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Female,60
3539,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,69
3540,Low,Medium,Private,Positive,3,No,High School,Moderate,Male,65
3541,Low,Medium,Public,Positive,2,No,High School,Near,Female,69
3542,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,70
3543,Medium,High,Private,Positive,1,Yes,Postgraduate,Near,Female,65
3544,Low,Medium,Public,Neutral,4,No,High School,Far,Female,57
3545,Medium,High,Public,Positive,2,No,High School,Near,Female,68
3546,High,Low,Public,Neutral,3,No,Postgraduate,Near,Male,67
3547,Medium,Medium,Private,Negative,4,No,High School,Near,Female,70
3548,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,68
3549,Low,Medium,Public,Neutral,1,No,College,Moderate,Female,62
3550,Low,Medium,Public,Neutral,5,No,High School,Far,Male,67
3551,Medium,Medium,Private,Positive,1,No,Postgraduate,Near,Male,66
3552,Medium,High,Public,Neutral,2,No,College,Far,Female,60
3553,Medium,,Public,Positive,2,No,College,Moderate,Male,65
3554,Low,High,Public,Positive,2,No,College,Near,Female,75
3555,Medium,High,Public,Neutral,5,No,High School,Far,Female,67
3556,Low,Medium,Public,Neutral,2,No,Postgraduate,Moderate,Male,71
3557,Medium,Medium,Public,Negative,2,Yes,High School,Near,Male,63
3558,High,High,Public,Positive,1,No,Postgraduate,Moderate,Male,67
3559,Low,Medium,Private,Negative,4,No,Postgraduate,Near,Female,68
3560,Low,High,Public,Negative,4,No,High School,Near,Male,65
3561,High,Medium,Public,Positive,3,No,College,Moderate,Female,72
3562,Medium,Medium,Public,Neutral,4,No,High School,Moderate,Female,61
3563,Medium,Low,Public,Neutral,5,No,College,Moderate,Female,60
3564,Low,Medium,Public,Positive,2,No,High School,Near,Female,72
3565,Medium,Medium,Public,Neutral,3,No,Postgraduate,Far,Female,72
3566,Medium,Medium,Private,Negative,3,No,College,Near,Male,70
3567,Medium,Medium,Public,Negative,3,Yes,College,Near,Male,67
3568,Low,High,Private,Neutral,1,No,Postgraduate,Near,Male,71
3569,Medium,Medium,Private,Negative,2,No,Postgraduate,Near,Female,66
3570,Low,High,Public,Positive,2,No,High School,Near,Female,72
3571,High,Medium,Public,Neutral,4,No,High School,Moderate,Female,70
3572,High,Medium,Public,Negative,2,No,High School,Moderate,Female,71
3573,Medium,Medium,Public,Negative,4,No,College,Far,Male,64
3574,High,Medium,Public,Positive,2,No,College,Moderate,Male,66
3575,Medium,Medium,Public,Positive,4,No,High School,Near,Male,64
3576,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,67
3577,Medium,Medium,Public,Positive,3,No,High School,Moderate,Female,67
3578,Medium,High,Public,Positive,3,No,High School,Near,Male,64
3579,Medium,Medium,Private,Positive,4,No,High School,Moderate,Female,61
3580,Medium,Medium,Private,Negative,2,No,High School,Near,Female,99
3581,High,Medium,Public,Positive,4,No,High School,Near,Male,67
3582,High,High,Public,Positive,3,No,Postgraduate,Near,Male,72
3583,Medium,Medium,Public,Neutral,4,No,High School,Moderate,Male,66
3584,Medium,High,Public,Positive,2,No,Postgraduate,Moderate,Male,68
3585,Medium,High,Public,Positive,1,No,College,Near,Female,64
3586,High,Medium,Public,Neutral,2,No,High School,Near,Male,69
3587,Low,Medium,Public,Positive,4,No,High School,Far,Female,65
3588,Medium,Medium,Public,Neutral,4,Yes,Postgraduate,Far,Female,66
3589,Medium,High,Public,Positive,4,No,High School,Near,Male,73
3590,Low,Medium,Public,Neutral,4,No,High School,,Female,63
3591,Medium,Medium,Public,Negative,4,No,High School,Moderate,Female,66
3592,Low,High,Private,Neutral,2,No,Postgraduate,Near,Female,65
3593,Medium,High,Public,Negative,2,No,High School,Near,Male,71
3594,Medium,Medium,Public,Neutral,2,Yes,College,Near,Male,58
3595,Low,High,Private,Neutral,3,No,High School,Moderate,Male,68
3596,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,69
3597,Low,Medium,Public,Positive,3,No,Postgraduate,Near,Female,63
3598,Medium,Medium,Public,Negative,5,No,College,Near,Female,66
3599,High,High,Public,Negative,3,No,College,Near,Female,69
3600,Low,Medium,Private,Negative,3,No,College,Near,Male,69
3601,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,63
3602,Low,Medium,Public,Positive,3,No,College,Near,Female,65
3603,High,Low,Private,Positive,3,No,College,Near,Male,76
3604,High,High,Public,Neutral,3,No,Postgraduate,Near,Male,67
3605,Low,High,Public,Positive,3,No,Postgraduate,Moderate,Male,70
3606,Medium,High,Public,Negative,5,No,College,Moderate,Male,60
3607,High,High,Public,Neutral,3,Yes,High School,Near,Female,68
3608,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Male,68
3609,Low,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,70
3610,High,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Female,68
3611,Low,Low,Public,Neutral,3,Yes,High School,Near,Male,69
3612,Low,Medium,Public,Negative,3,No,High School,Near,Female,62
3613,High,Low,Private,Neutral,4,No,College,Moderate,Male,64
3614,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,71
3615,Low,Medium,Public,Positive,2,No,High School,Near,Male,68
3616,Medium,Low,Public,Neutral,5,No,High School,Near,Female,72
3617,High,High,Private,Negative,3,No,Postgraduate,Far,Male,64
3618,Low,High,Public,Neutral,3,No,High School,Far,Female,73
3619,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,69
3620,Medium,Low,Private,Positive,3,No,Postgraduate,Moderate,Male,70
3621,Low,High,Public,Neutral,2,No,High School,Near,Female,69
3622,High,Medium,Public,Neutral,3,No,High School,Far,Male,64
3623,Medium,Medium,Private,Neutral,2,No,College,Near,Male,66
3624,Medium,Medium,Public,Neutral,2,No,High School,Moderate,Female,69
3625,Low,Medium,Private,Positive,3,No,High School,Moderate,Female,68
3626,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,65
3627,Low,Medium,Public,Negative,2,No,High School,Moderate,Male,62
3628,High,Medium,Public,Positive,2,No,Postgraduate,Near,Female,75
3629,Low,Medium,Public,Positive,3,No,High School,Near,Female,60
3630,Medium,Medium,Public,Neutral,4,No,College,Near,Male,63
3631,Medium,Medium,Public,Positive,4,No,College,Far,Male,66
3632,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,67
3633,Medium,Medium,Public,Negative,3,No,College,Moderate,Female,68
3634,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,72
3635,Low,Medium,Private,Neutral,3,No,College,Near,Male,66
3636,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,63
3637,High,High,Private,Positive,3,No,College,Moderate,Female,71
3638,Low,Medium,Public,Positive,3,No,College,Far,Male,67
3639,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,66
3640,Low,High,Private,Positive,2,No,College,Near,Female,66
3641,Low,Medium,Public,Positive,2,No,College,Near,Male,68
3642,High,Medium,Public,Neutral,3,No,College,Near,Female,66
3643,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Female,68
3644,Low,Medium,Public,Neutral,1,Yes,College,Near,Female,68
3645,High,High,Public,Neutral,2,No,High School,Near,Female,68
3646,Low,High,Private,Neutral,3,No,Postgraduate,Near,Male,66
3647,Low,High,Private,Positive,2,No,High School,Moderate,Male,66
3648,Medium,High,Public,Neutral,3,No,Postgraduate,Far,Female,70
3649,High,Medium,Public,Negative,2,No,High School,Near,Male,68
3650,High,Low,Public,Negative,3,No,High School,Moderate,Male,65
3651,Medium,Medium,Private,Positive,3,No,College,Near,Male,70
3652,High,Medium,Private,Negative,5,No,High School,Far,Male,66
3653,Medium,Medium,Public,Negative,1,Yes,Postgraduate,Moderate,Female,68
3654,Medium,Medium,Private,Neutral,2,Yes,College,Moderate,Male,64
3655,Medium,Medium,Private,Negative,3,No,High School,Near,Male,69
3656,Medium,Medium,Private,Neutral,4,No,Postgraduate,Near,Female,65
3657,Medium,High,Public,Negative,3,No,Postgraduate,Near,Female,69
3658,High,High,Private,Neutral,4,No,High School,Near,Female,66
3659,Medium,Low,Public,Positive,2,No,High School,Near,Female,68
3660,High,Medium,Public,Positive,2,No,Postgraduate,Near,Female,70
3661,Medium,High,Public,Positive,3,No,High School,Moderate,Female,65
3662,High,High,Private,Neutral,2,No,High School,Near,Female,65
3663,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Female,68
3664,Medium,Medium,Public,Positive,3,No,College,Near,Male,67
3665,Low,Medium,Private,Neutral,3,No,High School,Near,Female,72
3666,High,High,Public,Positive,3,No,Postgraduate,Moderate,Male,70
3667,High,High,Private,Neutral,3,No,College,Near,Male,72
3668,High,Medium,Public,Negative,5,No,College,Near,Male,71
3669,Medium,High,Private,Neutral,4,No,College,Near,Male,64
3670,Medium,Medium,Public,Positive,5,No,High School,Moderate,Female,69
3671,Low,Medium,Public,Positive,1,No,High School,Near,Female,73
3672,Low,Medium,Public,Negative,5,No,Postgraduate,Far,Female,70
3673,Low,Medium,Public,Neutral,4,No,Postgraduate,Near,Female,68
3674,Medium,High,Public,Positive,5,No,High School,Moderate,Male,71
3675,Low,High,Private,Positive,3,No,Postgraduate,Near,Female,71
3676,High,Medium,Public,Neutral,3,No,High School,Near,Male,66
3677,High,High,Public,Neutral,4,No,High School,Near,Female,68
3678,Medium,Medium,Public,Neutral,2,No,Postgraduate,Near,Male,70
3679,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,72
3680,Low,Low,Public,Positive,4,No,Postgraduate,Near,Female,66
3681,High,Medium,Private,Neutral,2,No,High School,Near,Female,65
3682,High,Medium,Private,Neutral,3,Yes,High School,Near,Female,66
3683,Low,Medium,Private,Neutral,1,No,High School,Moderate,Female,65
3684,Low,Medium,Private,Neutral,4,No,High School,Moderate,Male,72
3685,High,Medium,Public,Negative,3,No,College,Near,Female,68
3686,High,Medium,Public,Negative,3,No,College,Near,Female,68
3687,High,Low,Public,Positive,4,Yes,High School,Near,Male,67
3688,Low,Medium,Public,Neutral,2,No,High School,Near,Male,68
3689,Medium,High,Public,Positive,4,No,High School,Moderate,Male,67
3690,High,High,Public,Negative,3,No,High School,Moderate,Female,69
3691,Low,Medium,Private,Neutral,2,Yes,High School,Near,Male,65
3692,Medium,High,Public,Neutral,4,No,College,Near,Male,70
3693,Medium,Medium,Public,Positive,2,No,High School,Moderate,Male,64
3694,Low,High,Public,Positive,3,No,High School,Near,Male,66
3695,High,Medium,Public,Positive,1,No,College,Near,Female,64
3696,High,High,Public,Negative,2,Yes,High School,Moderate,Female,66
3697,Medium,Medium,Private,Neutral,2,No,High School,Near,Male,67
3698,Medium,Low,Public,Negative,4,No,High School,Near,Male,68
3699,Medium,High,Public,Neutral,2,No,High School,Moderate,Male,71
3700,Low,High,Private,Neutral,3,No,College,Near,Female,67
3701,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,69
3702,Medium,Medium,Public,Positive,4,No,College,Near,Male,67
3703,Low,Medium,Private,Neutral,3,Yes,High School,Moderate,Female,61
3704,Medium,High,Public,Positive,2,No,High School,Moderate,Male,68
3705,Medium,Low,Private,Neutral,4,No,High School,Near,Female,67
3706,Medium,High,Public,Neutral,4,No,College,Moderate,Male,64
3707,Medium,High,Public,Negative,2,No,High School,Moderate,Female,63
3708,High,High,Public,Negative,4,No,College,Near,Male,72
3709,Low,Medium,Public,Negative,2,No,High School,Moderate,Male,69
3710,High,Low,Public,Neutral,2,Yes,High School,Far,Male,66
3711,High,High,Private,Neutral,3,Yes,College,Near,Female,64
3712,Medium,High,Public,Negative,4,No,High School,Near,Female,61
3713,Low,Low,Public,Negative,4,Yes,High School,Near,Male,71
3714,High,Medium,Public,Positive,1,No,High School,Near,Female,63
3715,Medium,Low,Public,Neutral,4,No,High School,Near,Female,65
3716,High,Medium,Public,Negative,5,No,College,Near,Female,71
3717,Medium,High,Private,Neutral,1,No,High School,Near,Female,78
3718,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,73
3719,Low,High,Private,Neutral,3,No,College,Near,Female,65
3720,Medium,Medium,Public,Positive,4,No,Postgraduate,Near,Male,66
3721,Medium,High,Public,Neutral,2,No,High School,Near,Male,66
3722,High,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,74
3723,High,Medium,Private,Positive,3,No,High School,Near,Female,62
3724,Medium,Medium,Public,Positive,2,No,College,Near,Female,66
3725,Low,Medium,Public,Negative,4,No,High School,Near,Female,71
3726,High,Medium,Public,Neutral,2,No,High School,Near,Female,67
3727,Medium,High,Public,Neutral,4,No,College,Near,Female,69
3728,High,Medium,Public,Positive,4,No,High School,Moderate,Male,72
3729,High,Medium,Public,Positive,4,No,Postgraduate,Near,Male,72
3730,Medium,High,Public,Positive,2,No,High School,Far,Male,65
3731,Medium,Medium,Public,Positive,5,No,Postgraduate,Near,Male,71
3732,High,High,Private,Positive,1,Yes,College,Near,Male,64
3733,Low,Medium,Public,Positive,2,No,High School,Moderate,Male,61
3734,High,High,Public,Negative,2,No,College,Moderate,Female,69
3735,Low,Medium,Private,Neutral,5,No,High School,Moderate,Female,65
3736,Low,High,Public,Neutral,4,No,College,Far,Female,69
3737,High,Low,Public,Neutral,3,No,High School,Near,Female,64
3738,High,Medium,Public,Negative,4,Yes,Postgraduate,Moderate,Male,69
3739,Low,Medium,Private,Neutral,4,No,High School,Near,Female,68
